codepoint, imagepath, rawcode, desc
 U+0B30 U+0B4D U+0B18, image/0B30-0B4D-0B18.jpg, ର୍ଘ, RA VIRAMA GHA 
 U+0B30 U+0B4D U+0B1A, image/0B30-0B4D-0B1A.jpg, ର୍ଚ, RA VIRAMA CA 
 U+0B30 U+0B4D U+0B1A U+0B4D U+0B1A, image/0B30-0B4D-0B1A-0B4D-0B1A.jpg, ର୍ଚ୍ଚ, RA VIRAMA CA VIRAMA CA
 U+0B30 U+0B4D U+0B1A U+0B4D U+0B1B, image/0B30-0B4D-0B1A-0B4D-0B1B.jpg, ର୍ଚ୍ଛ, RA VIRAMA CA VIRAMA CHA
 U+0B30 U+0B4D U+0B1B, image/0B30-0B4D-0B1B.jpg, ର୍ଛ, RA VIRAMA CHA 
 U+0B30 U+0B4D U+0B1C, image/0B30-0B4D-0B1C.jpg, ର୍ଜ, RA VIRAMA JA 
 U+0B30 U+0B4D U+0B1D, image/0B30-0B4D-0B1D.jpg, ର୍ଝ, RA VIRAMA JHA 
 U+0B30 U+0B4D U+0B1F, image/0B30-0B4D-0B1F.jpg, ର୍ଟ, RA VIRAMA TTA 
 U+0B30 U+0B4D U+0B20, image/0B30-0B4D-0B20.jpg, ର୍ଠ, RA VIRAMA TTHA 
 U+0B30 U+0B4D U+0B21, image/0B30-0B4D-0B21.jpg, ର୍ଡ, RA VIRAMA DDA 
 U+0B30 U+0B4D U+0B22, image/0B30-0B4D-0B22.jpg, ର୍ଢ, RA VIRAMA DDHA 
 U+0B30 U+0B4D U+0B23, image/0B30-0B4D-0B23.jpg, ର୍ଣ, RA VIRAMA NNA 
 U+0B30 U+0B4D U+0B24, image/0B30-0B4D-0B24.jpg, ର୍ତ, RA VIRAMA TA 
 U+0B30 U+0B4D U+0B24 U+0B4D U+0B24, image/0B30-0B4D-0B24-0B4D-0B24.jpg, ର୍ତ୍ତ, RA VIRAMA TA VIRAMA TA			(A)
 U+0B30 U+0B4D U+0B25, image/0B30-0B4D-0B25.jpg, ର୍ଥ, RA VIRAMA THA 
 U+0B30 U+0B4D U+0B26, image/0B30-0B4D-0B26.jpg, ର୍ଦ, RA VIRAMA DA 
 U+0B30 U+0B4D U+0B26 U+0B4D U+0B26, image/0B30-0B4D-0B26-0B4D-0B26.jpg, ର୍ଦ୍ଦ, RA VIRAMA DA VIRAMA DA
 U+0B30 U+0B4D U+0B26 U+0B4D U+0B27, image/0B30-0B4D-0B26-0B4D-0B27.jpg, ର୍ଦ୍ଧ, RA VIRAMA DA VIRAMA DHA
 U+0B30 U+0B4D U+0B27, image/0B30-0B4D-0B27.jpg, ର୍ଧ, RA VIRAMA DHA 
 U+0B30 U+0B4D U+0B28, image/0B30-0B4D-0B28.jpg, ର୍ନ, RA VIRAMA NA 
 U+0B30 U+0B4D U+0B2A, image/0B30-0B4D-0B2A.jpg, ର୍ପ, RA VIRAMA PA 
 U+0B30 U+0B4D U+0B2B, image/0B30-0B4D-0B2B.jpg, ର୍ଫ, RA VIRAMA PHA 
 U+0B30 U+0B4D U+0B2C, image/0B30-0B4D-0B2C.jpg, ର୍ବ, RA VIRAMA BA 
 U+0B30 U+0B4D U+0B2D, image/0B30-0B4D-0B2D.jpg, ର୍ଭ, RA VIRAMA BHA 
 U+0B30 U+0B4D U+0B2E, image/0B30-0B4D-0B2E.jpg, ର୍ମ, RA VIRAMA MA 
 U+0B30 U+0B4D U+0B2F, image/0B30-0B4D-0B2F.jpg, ର୍ଯ, RA VIRAMA YA 
 U+0B30 U+0B4D U+0B2F U+0B4D U+0B2F, image/0B30-0B4D-0B2F-0B4D-0B2F.jpg, ର୍ଯ୍ଯ, RA VIRAMA YA VIRAMA YA			(A)
 U+0B30 U+0B4D U+0B36, image/0B30-0B4D-0B36.jpg, ର୍ଶ, RA VIRAMA SHA 
 U+0B30 U+0B4D U+0B37, image/0B30-0B4D-0B37.jpg, ର୍ଷ, RA VIRAMA SSA 
 U+0B30 U+0B4D U+0B38, image/0B30-0B4D-0B38.jpg, ର୍ସ, RA VIRAMA SA 
 U+0B30 U+0B4D U+0B39, image/0B30-0B4D-0B39.jpg, ର୍ହ, RA VIRAMA HA 
 U+0B30 U+0B4D U+0B5C, image/0B30-0B4D-0B5C.jpg, ର୍ଡ଼, RA VIRAMA RRA 
 U+0B30 U+0B4D U+0B5D, image/0B30-0B4D-0B5D.jpg, ର୍ଢ଼, RA VIRAMA RHA
 U+0B16 U+0B4D U+0B30, image/0B16-0B4D-0B30.jpg, ଖ୍ର, KHA VIRAMA RA 			(A)
 U+0B17 U+0B4D U+0B30, image/0B17-0B4D-0B30.jpg, ଗ୍ର, GA VIRAMA RA 				(A)
 U+0B18 U+0B4D U+0B30, image/0B18-0B4D-0B30.jpg, ଘ୍ର, GHA VIRAMA RA 			(A)
 U+0B1A U+0B4D U+0B1A U+0B4D U+0B30, image/0B1A-0B4D-0B1A-0B4D-0B30.jpg, ଚ୍ଚ୍ର, CA VIRAMA CA VIRAMA RA			(A)
 U+0B1A U+0B4D U+0B1B U+0B4D U+0B30, image/0B1A-0B4D-0B1B-0B4D-0B30.jpg, ଚ୍ଛ୍ର, CA VIRAMA CHA VIRAMA RA		(A)
 U+0B1A U+0B4D U+0B30, image/0B1A-0B4D-0B30.jpg, ଚ୍ର, CA VIRAMA RA 			(A)
 U+0B1B U+0B4D U+0B30, image/0B1B-0B4D-0B30.jpg, ଛ୍ର, CHA VIRAMA RA 			(A)
 U+0B1C U+0B4D U+0B30, image/0B1C-0B4D-0B30.jpg, ଜ୍ର, JA VIRAMA RA 			(A)
 U+0B1D U+0B4D U+0B30, image/0B1D-0B4D-0B30.jpg, ଝ୍ର, JHA VIRAMA RA 			(A)
 U+0B1F U+0B4D U+0B30, image/0B1F-0B4D-0B30.jpg, ଟ୍ର, TTA VIRAMA RA 			(A)
 U+0B20 U+0B4D U+0B30, image/0B20-0B4D-0B30.jpg, ଠ୍ର, TTHA VIRAMA RA 			(A)
 U+0B21 U+0B4D U+0B30, image/0B21-0B4D-0B30.jpg, ଡ୍ର, DDA VIRAMA RA 			(A)
 U+0B22 U+0B4D U+0B30, image/0B22-0B4D-0B30.jpg, ଢ୍ର, DDHA VIRAMA RA 		(A)
 U+0B23 U+0B4D U+0B30, image/0B23-0B4D-0B30.jpg, ଣ୍ର, NNA VIRAMA RA 			(A)
 U+0B24 U+0B4D U+0B30, image/0B24-0B4D-0B30.jpg, ତ୍ର, TA VIRAMA RA			(A)
 U+0B24 U+0B4D U+0B24 U+0B4D U+0B30, image/0B24-0B4D-0B24-0B4D-0B30.jpg, ତ୍ତ୍ର, TA VIRAMA TA VIRAMA RA			(A)
 U+0B24 U+0B4D U+0B25 U+0B4D U+0B30, image/0B24-0B4D-0B25-0B4D-0B30.jpg, ତ୍ଥ୍ର, TA VIRAMA  THA VIRAMA RA			(A)
 U+0B25 U+0B4D U+0B30, image/0B25-0B4D-0B30.jpg, ଥ୍ର, THA VIRAMA RA 			(A)	
 U+0B26 U+0B4D U+0B30, image/0B26-0B4D-0B30.jpg, ଦ୍ର, DA VIRAMA RA 			(A)
 U+0B26 U+0B4D U+0B26 U+0B4D U+0B30, image/0B26-0B4D-0B26-0B4D-0B30.jpg, ଦ୍ଦ୍ର, DA VIRAMA DA VIRAMA RA			(A)
 U+0B26 U+0B4D U+0B27 U+0B4D U+0B30, image/0B26-0B4D-0B27-0B4D-0B30.jpg, ଦ୍ଧ୍ର, DA VIRAMA DHA VIRAMA RA		(A)
 U+0B27 U+0B4D U+0B30, image/0B27-0B4D-0B30.jpg, ଧ୍ର, DHA VIRAMA RA 			(A)
 U+0B28 U+0B4D U+0B30, image/0B28-0B4D-0B30.jpg, ନ୍ର, NA VIRAMA RA 			(A)
 U+0B2A U+0B4D U+0B30, image/0B2A-0B4D-0B30.jpg, ପ୍ର, PA VIRAMA RA 			(A)
 U+0B2B U+0B4D U+0B30, image/0B2B-0B4D-0B30.jpg, ଫ୍ର, PHA VIRAMA RA 			(A)
 U+0B2C U+0B4D U+0B30, image/0B2C-0B4D-0B30.jpg, ବ୍ର, BA VIRAMA RA 			(A)
 U+0B2D U+0B4D U+0B30, image/0B2D-0B4D-0B30.jpg, ଭ୍ର, BHA VIRAMA RA 			(A)
