<b>Codepoint</b>,<b>Character</b>,<b>Description</b>,<b>Result</b>
U+09B6 U+09C2,শূ,SHA + ASSAMESE VOWEL SIGN UU,Matched
U+09B6 U+09C3,শৃ,SHA + ASSAMESE VOWEL SIGN VOCALIC R,Matched
U+09B6 U+09CD,শ্,SHA+HALANT,Matched
U+09B7 U+0981,ষঁ,ASSAMESE LETTER SSA + ASSAMESE LETTER CHANDRABINDU,Matched
U+09B7 U+09C1,ষু,SSA + ASSAMESE VOWEL SIGN U,Matched
U+09B7 U+09C2,ষূ,SSA + ASSAMESE VOWEL SIGN UU,Matched
U+09B7 U+09C3,ষৃ,SSA + ASSAMESE VOWEL SIGN VOCALIC R,Matched
U+09B7 U+09CD,ষ্,SSA+HALANT,Matched
U+09B8 U+0981,সঁ,ASSAMESE LETTER SA + ASSAMESE LETTER CHANDRABINDU,Matched
U+09B8 U+09C1,সু,SA + ASSAMESE VOWEL SIGN U,Matched
U+09B8 U+09C2,সূ,SA + ASSAMESE VOWEL SIGN UU,Matched
U+09B8 U+09C3,সৃ,SA + ASSAMESE VOWEL SIGN VOCALIC R,Matched
U+09B8 U+09CD,স্,SA+HALANT,Matched
U+09B9 U+0981,হঁ,ASSAMESE LETTER HA + ASSAMESE LETTER CHANDRABINDU,Matched
U+09B9 U+09C1,হু,HA + ASSAMESE VOWEL SIGN U,Matched
U+09B9 U+09C2,হূ,HA + ASSAMESE VOWEL SIGN UU,Matched
U+09B9 U+09C3,হৃ,HA + ASSAMESE VOWEL SIGN VOCALIC R,Matched
U+09B9 U+09CD,হ্,HA+HALANT,Matched
U+09F0 U+0981,ৰঁ,ASSAMESE LETTER RA + ASSAMESE LETTER CHANDRABINDU,Matched
U+09F0 U+09C1,ৰু,RA + ASSAMESE VOWEL SIGN U,Matched
U+09F0 U+09C2,ৰূ,RA + ASSAMESE VOWEL SIGN UU,Matched
U+09F0 U+09C3,ৰৃ,RA + ASSAMESE VOWEL SIGN VOCALIC R,Matched
U+09F0 U+09CD U+0995,ৰ্ক,RA + HALANT + KA,Matched
U+09F0 U+09CD U+0996,ৰ্খ,RA + HALANT + KHA,Matched
U+09F0 U+09CD U+0997,ৰ্গ,RA + HALANT + GA,Matched
U+09F0 U+09CD U+0998,ৰ্ঘ,RA + HALANT + GHA,Matched
U+09F0 U+09CD U+099A,ৰ্চ,RA + HALANT + CA ,Matched
U+09F0 U+09CD U+099B,ৰ্ছ,RA + HALANT + CHA,Matched
U+09F0 U+09CD U+099C,ৰ্জ,RA + HALANT + JA,Matched
U+09F0 U+09CD U+099D,ৰ্ঝ,RA + HALANT + JHA,Matched
U+09F0 U+09CD U+099E,ৰ্ঞ,RA + HALANT + NYA,Matched
U+09F0 U+09CD U+099F,ৰ্ট,RA + HALANT + TTA,Matched
U+09F0 U+09CD U+09A0,ৰ্ঠ,RA + HALANT + TTHA,Matched
U+09F0 U+09CD U+09A1,ৰ্ড,RA + HALANT + DDA,Matched
U+09F0 U+09CD U+09A2,ৰ্ঢ,RA + HALANT + DDHA,Matched
U+09F0 U+09CD U+09A3,ৰ্ণ,RA + HALANT + NNA,Matched
U+09F0 U+09CD U+09A4,ৰ্ত,RA + HALANT + TA,Matched
U+09F0 U+09CD U+09A5,ৰ্থ,RA + HALANT + THA,Matched
U+09F0 U+09CD U+09A6,ৰ্দ,RA + HALANT + DA,Matched
U+09F0 U+09CD U+09A7,ৰ্ধ,RA + HALANT + DHA,Matched
U+09F0 U+09CD U+09A8,ৰ্ন,RA + HALANT + NA,Matched
U+09F0 U+09CD U+09AA,ৰ্প,RA + HALANT + PA,Matched
U+09F0 U+09CD U+09AB,ৰ্ফ,RA + HALANT + PHA,Matched
U+09F0 U+09CD U+09AC,ৰ্ব,RA + HALANT + BA,Matched
U+09F0 U+09CD U+09AD,ৰ্ভ,RA + HALANT + BHA,Matched
U+09F0 U+09CD U+09AE,ৰ্ম,RA + HALANT + MA,Matched
U+09F0 U+09CD U+09AF,ৰ্য,RA + HALANT + YA,Matched
U+09F0 U+09CD U+09B2,ৰ্ল,RA + HALANT + LA,Matched
U+09F0 U+09CD U+09B6,ৰ্শ,RA + HALANT + SHA,Matched
U+09F0 U+09CD U+09B7,ৰ্ষ,RA + HALANT + SSA,Matched
U+09F0 U+09CD U+09B8,ৰ্স,RA + HALANT + SA,Matched
U+09F0 U+09CD U+09B9,ৰ্হ,RA + HALANT + HA,Matched
U+09F0 U+09CD U+09F0,ৰ্ৰ,RA + HALANT + RA,Matched
