<b>Codepoint</b>,<b>Character</b>,<b>Description</b>,<b>Result</b>
U+0999 U+09CD U+0996,ঙ্খ,NGA + HALANT + KHA,Matched
U+0999 U+09CD U+0997,ঙ্গ,NGA + HALANT + GA,Matched
U+0999 U+09CD U+0998,ঙ্ঘ,NGA + HALANT + GHA,Matched
U+0999 U+09CD U+09AE,ঙ্ম,NGA + HALANT + MA,Matched
U+099A U+09CD U+099A,চ্চ,CA + HALANT + CA,Matched
U+099A U+09CD U+099B,চ্ছ,CA + HALANT + CHA,Matched
U+099A U+09CD U+099B U+09CD U+09AC,চ্ছ্ব,CA + HALANT + CHA + HALANT + BA,Matched
U+099A U+09CD U+099E,চ্ঞ,CA + HALANT + NYA,Matched
U+099C U+09CD U+099C,জ্জ,JA + HALANT + JA,Matched
U+099C U+09CD U+099C U+09CD U+09AC,জ্জ্ব,JA + HALANT + JA + HALANT + BA,Matched
U+099C U+09CD U+099D,জ্ঝ,JA + HALANT + JHA,Matched
U+099C U+09CD U+099E,জ্ঞ,JA + HALANT + NYA,Matched
U+099C U+09CD U+09AC,জ্ব,JA + HALANT + BA,Matched
U+099C U+09CD U+09F0,জ্ৰ ,JA + HALANT + RA,Matched
U+099E U+09CD U+099A,ঞ্চ,NYA + HALANT + CA,Matched
U+099E U+09CD U+099B,ঞ্ছ,NYA + HALANT + CHA,Matched
U+099E U+09CD U+099C,ঞ্জ,NYA + HALANT + JA,Matched
U+099F U+09CD U+099F,ট্ট,TTA + HALANT + TTA,Matched
U+099F U+09CD U+09AC,ট্ব,TTA + HALANT + BA,Matched
U+099F U+09CD U+09AE,ট্ম,TTA + HALANT + MA,Matched
U+09A3 U+09CD U+099F,ণ্ট ,NNA + HALANT + TTA,Matched
U+09A3 U+09CD U+09A1,ণ্ড,NNA + HALANT + DDA,Matched
U+09A3 U+09CD U+09A3,ণ্ণ ,NNA + HALANT + NNA,Matched
U+09A3 U+09CD U+09AE,ণ্ম,NNA + HALANT + MA,Matched
U+09A4 U+09CD U+09A4,ত্ত,TA + HALANT + TA,Matched
U+09A4 U+09CD U+09A4 U+09CD U+09AC,ত্ত্ব,TA + HALANT + TA + HALANT + BA,Matched
U+09A4 U+09CD U+09A8,ত্ন,TA + HALANT + NA,Matched
U+09A4 U+09CD U+09AC,ত্ব,TA + HALANT + BA,Matched
U+09A4 U+09CD U+09AE,ত্ম,TA + HALANT + MA,Matched
U+09A4 U+09CD U+09AE U+09CD U+09AF,ত্ম্য,TA + HALANT + MA + HALANT + YA,Matched
U+09A4 U+09CD U+09F0,ত্ৰ,TA + HALANT + RA,Matched
U+09A6 U+09CD U+0997,দ্গ,DA + HALANT + GA,Matched
U+09A6 U+09CD U+0998,দ্ঘ,DA + HALANT + GHA,Matched
U+09A6 U+09CD U+09A6,দ্দ,DA + HALANT + DA,Matched
U+09A6 U+09CD U+09A7,দ্ধ,DA + HALANT + DHA,Matched
U+09A6 U+09CD U+09AC,দ্ব,DA + HALANT + BA,Matched
U+09A6 U+09CD U+09AD,দ্ভ,DA + HALANT + BHA,Matched
U+09A6 U+09CD U+09AE,দ্ম,DA + HALANT + MA,Matched
U+09A6 U+09CD U+09F0,দ্ৰ ,DA + HALANT + RA,Matched
U+09A7 U+09CD U+09AC,ধ্ব,DHA + HALANT + BA,Matched
U+09A7 U+09CD U+09AE,ধ্ম,DHA + HALANT + MA,Matched
U+09A7 U+09CD U+09F0,ধ্ৰ,DHA + HALANT + RA,Matched
U+09A8 U+09CD U+09A1,ন্ড,NA + HALANT + DDA,Matched
U+09A8 U+09CD U+09A4,ন্ত,NA + HALANT + TA,Matched
U+09A8 U+09CD U+09A4 U+09CD U+09AC,ন্ত্ব,NA + HALANT + TA + HALANT + BA,Matched
U+09A8 U+09CD U+09A4 U+09CD U+09F0,ন্ত্ৰ,NA + HALANT + TA + HALANT + RA,Matched
U+09A8 U+09CD U+09A5,ন্থ,NA + HALANT + THA,Matched
U+09A8 U+09CD U+09A6,ন্দ,NA + HALANT + DA,Matched
U+09A8 U+09CD U+09A6 U+09CD U+09F0,ন্দ্ৰ,NA + HALANT + DA + HALANT + RA,Matched
U+09A8 U+09CD U+09A7,ন্ধ,NA + HALANT + DHA,Matched
U+09A8 U+09CD U+09A8 U+09CD U+09AF,ন্ন্য,NA + HALANT + NA + HALANT + YA,Matched
U+09A8 U+09CD U+09A8,ন্ন,NA + HALANT + NA,Matched
U+09A8 U+09CD U+09A7 U+09CD U+09AF,ন্ধ্য,NA + HALANT + DHA + HALANT + YA,Matched
U+09A8 U+09CD U+09AC,ন্ব,NA + HALANT + BA,Matched
U+09A8 U+09CD U+09AE,ন্ম,NA + HALANT + MA,Matched
U+09AA U+09CD U+09A4,প্ত,PA + HALANT + TA,Matched
U+09AA U+09CD U+09AA,প্প,PA + HALANT + PA,Matched
U+09AA U+09CD U+09B2,প্ল,PA + HALANT + LA,Matched
U+09AA U+09CD U+09B8,প্স,PA + HALANT + SA,Matched
U+09AA U+09CD U+09F0,প্ৰ,PA + HALANT + RA,Matched
U+09AC U+09CD U+099C,ব্জ,BA + HALANT + JA,Matched
U+09AC U+09CD U+09A6,ব্দ,BA + HALANT + DA,Matched
U+09AC U+09CD U+09AC,ব্ব,BA + HALANT + BA,Matched
U+09AE U+09CD U+09A8,ম্ন,MA + HALANT + NA,Matched
U+09AE U+09CD U+09AA,ম্প,MA + HALANT + PA,Matched
U+09AE U+09CD U+09AA U+09CD U+09F0,ম্প্ৰ,MA + HALANT + PA + HALANT + RA,Matched
U+09AE U+09CD U+09AB,ম্ফ,MA + HALANT + PHA,Matched
U+09AE U+09CD U+09AC,ম্ব,MA + HALANT + BA,Matched
U+09AE U+09CD U+09AD,ম্ভ,MA + HALANT + BHA,Matched
U+09AE U+09CD U+09AD U+09CD U+09F0,ম্ভ্ৰ,MA + HALANT + BHA + HALANT + RA,Matched
U+09AE U+09CD U+09AE,ম্ম,MA + HALANT + MA,Matched
U+09AE U+09CD U+09B2,ম্ল,MA + HALANT + LA,Matched
U+09AE U+09CD U+09F0,ম্ৰ,MA + HALANT + RA,Matched
U+09B2 U+09CD U+0995,ল্ক,LA + HALANT + KA,Matched
U+09B2 U+09CD U+0997,ল্গ,LA + HALANT + GA,Matched
U+09B2 U+09CD U+09AA,ল্প,LA + HALANT + PA,Matched
U+09B2 U+09CD U+09AB,ল্ফ,LA + HALANT + PHA,Matched
U+09B2 U+09CD U+09AC,ল্ব,LA + HALANT + BA,Matched
U+09B2 U+09CD U+09AE,ল্ম,LA + HALANT + MA,Matched
U+09B2 U+09CD U+09B2,ল্ল,LA + HALANT + LA,Matched
U+09B6 U+09CD U+099A,শ্চ,SHA + HALANT + CA,Matched
U+09B6 U+09CD U+09AC,শ্ব,SHA + HALANT + BA,Matched
U+09B6 U+09CD U+09AE,শ্ম,SHA + HALANT + MA,Matched
U+09B6 U+09CD U+09B2,শ্ল,SHA + HALANT + LA,Matched
U+09B6 U+09CD U+09F0,শ্ৰ,SHA + HALANT + RA,Matched
U+09B7 U+09CD U+0995,ষ্ক,SSA + HALANT + KA,Matched
U+09B7 U+09CD U+099E,ষ্ণ,SSA + HALANT + NYA,Matched
U+09B7 U+09CD U+099E U+09C1,ষ্ণু,SSA + HALANT + NYA + VOWEL SIGN U,Matched
U+09B7 U+09CD U+099F,ষ্ট,SSA + HALANT + TTA,Matched
U+09B7 U+09CD U+099F U+09CD U+09F0,ষ্ট্ৰ,SSA + HALANT + TTA + HALANT + RA,Matched
U+09B7 U+09CD U+09A0,ষ্ঠ,SSA + HALANT + TTHA,Matched
U+09B7 U+09CD U+09AA,ষ্প,SSA + HALANT + PA,Matched
U+09B7 U+09CD U+09AA U+09CD U+09F0,ষ্প্ৰ,SSA + HALANT + PA + HALANT + RA,Matched
U+09B7 U+09CD U+09AB,ষ্ফ,SSA + HALANT + PHA,Matched
U+09B7 U+09CD U+09AC,ষ্ব,SSA + HALANT + BA,Matched
U+09B7 U+09CD U+09AE,ষ্ম,SSA + HALANT + MA,Matched
U+09B8 U+09CD U+0995,স্ক,SA + HALANT + KA,Matched
U+09B8 U+09CD U+0996,স্খ,SA + HALANT + KHA,Matched
U+09B8 U+09CD U+09A4,স্ত,SA + HALANT + TA,Matched
U+09B8 U+09CD U+09A4 U+09CD U+09F0,স্ত্ৰ,SA + HALANT + TA + HALANT + TA,Matched
U+09B8 U+09CD U+09A5,স্থ,SA + HALANT + THA,Matched
U+09B8 U+09CD U+09A8,স্ন,SA + HALANT + NA,Matched
U+09B8 U+09CD U+09AA,স্প,SA + HALANT + PA,Matched
U+09B8 U+09CD U+09AB,স্ফ,SA + HALANT + PHA,Matched
U+09B8 U+09CD U+09AC,স্ব,SA + HALANT + BA,Matched
U+09B8 U+09CD U+09B2,স্ল,SA + HALANT + LA,Matched
U+09B8 U+09CD U+09F0,স্ৰ,SA + HALANT + RA,Matched
U+09B9 U+09CD U+09A3,হ্ণ,HA + HALANT + NA,Matched
U+09B9 U+09CD U+09A3 U+09BF,হ্ণি,HA + HALANT + NA + VOWEL SIGN I,Matched
U+09B9 U+09CD U+09A8,হ্ন,HA + HALANT + NA,Matched
U+09B9 U+09CD U+09AC,হ্ব,HA + HALANT + BA,Matched
U+09B9 U+09CD U+09AE,হ্ম,HA + HALANT + MA,Matched
U+09B9 U+09CD U+09B2,হ্ল,HA + HALANT + LA,Matched
U+09B9 U+09CD U+09F0,হ্ৰ ,HA + HALANT + RA,Matched
U+09F0 U+09CD U+09A7 U+09CD U+09AC,ৰ্ধ্ব,RA + HALANT + DHA + HALANT + BA ,Matched
U+09F0 U+09CD U+09B6 U+09CD U+09AC,ৰ্শ্ব,RA + HALANT + SHA + HALANT + BA,Matched
U+0995 U+0981,কঁ,ASSAMESE LETTER KA + ASSAMESE LETTER CHANDRABINDU,Matched
U+0995 U+09C1,কু,KA + BANGALI VOWEL SIGN U,Matched
U+0995 U+09C2,কূ,KA + BANGALI VOWEL SIGN UU,Matched
U+0995 U+09C3,কৃ,KA + BANGALI VOWEL SIGN VOCALIC R,Matched
U+0995 U+09CD,ক্,KA+HALANT,Matched
U+0996 U+0981,খঁ,ASSAMESE LETTER KHA + ASSAMESE LETTER CHANDRABINDU,Matched
U+0996 U+09C1,খু,KHA + BANGALI VOWEL SIGN U,Matched
U+0996 U+09C2,খূ,KHA + BANGALI VOWEL SIGN UU,Matched
U+0996 U+09C3,খৃ,KHA + BANGALI VOWEL SIGN VOCALIC R,Matched
U+0996 U+09CD,খ্,KHA+HALANT,Matched
U+0997 U+0981,গঁ,ASSAMESE LETTER GA + ASSAMESE LETTER CHANDRABINDU,Matched
U+0997 U+09C1,গু,GA + BANGALI VOWEL SIGN U,Matched
U+0997 U+09C2,গূ,GA + BANGALI VOWEL SIGN UU,Matched
U+0997 U+09C3,গৃ,GA + BANGALI VOWEL SIGN VOCALIC R,Matched
U+0997 U+09CD,গ্,GA+HALANT,Matched
U+0998 U+0981,ঘঁ,ASSAMESE LETTER GHA + ASSAMESE LETTER CHANDRABINDU,Matched
U+0998 U+09C1,ঘু,GHA + BANGALI VOWEL SIGN U,Matched
U+0998 U+09C2,ঘূ,GHA + BANGALI VOWEL SIGN UU,Matched
U+0998 U+09C3,ঘৃ,GHA + BANGALI VOWEL SIGN VOCALIC R,Matched
U+0998 U+09CD,ঘ্,GHA+HALANT,Matched
U+0999 U+09C1,ঙু,NGA + BANGALI VOWEL SIGN U,Matched
U+0999 U+09C2,ঙূ,NGA + BANGALI VOWEL SIGN UU,Matched
U+0999 U+09C3,ঙৃ,NGA + BANGALI VOWEL SIGN VOCALIC R,Matched
U+0999 U+09CD,ঙ্,NGA+HALANT,Matched
U+099A U+0981,চঁ,ASSAMESE LETTER CA + ASSAMESE LETTER CHANDRABINDU,Matched
U+099A U+09C1,চু,CA + BANGALI VOWEL SIGN U,Matched
U+099A U+09C2,চূ,CA + BANGALI VOWEL SIGN UU,Matched
U+099A U+09C3,চৃ,CA + BANGALI VOWEL SIGN VOCALIC R,Matched
U+099A U+09CD,চ্,CA+HALANT,Matched
U+099B U+0981,ছঁ,ASSAMESE LETTER CHA + ASSAMESE LETTER CHANDRABINDU,Matched
U+099B U+09C1,ছু,CHA + BANGALI VOWEL SIGN U,Matched
U+099B U+09C2,ছূ,CHA + BANGALI VOWEL SIGN UU,Matched
U+099B U+09C3,ছৃ,CHA + BANGALI VOWEL SIGN VOCALIC R,Matched
U+099B U+09CD,ছ্,CHA+HALANT,Matched
U+099C U+0981,জঁ,ASSAMESE LETTER JA + ASSAMESE LETTER CHANDRABINDU,Matched
U+099C U+09BC,জ়,JA+NUKTA,Matched
U+099C U+09C1,জু,JA + BANGALI VOWEL SIGN U,Matched
U+099C U+09C2,জূ,JA + BANGALI VOWEL SIGN UU,Matched
U+099C U+09C3,জৃ,JA + BANGALI VOWEL SIGN VOCALIC R,Matched
U+099C U+09CD,জ্,JA+HALANT,Matched
U+099D U+0981,ঝঁ,ASSAMESE LETTER JHA + ASSAMESE LETTER CHANDRABINDU,Matched
U+099D U+09C1,ঝু,JHA + BANGALI VOWEL SIGN U,Matched
U+099D U+09C2,ঝূ,JHA + BANGALI VOWEL SIGN UU,Matched
U+099D U+09C3,ঝৃ,JHA + BANGALI VOWEL SIGN VOCALIC R,Matched
U+099D U+09CD,ঝ্,JHA+HALANT,Matched
U+099E U+09C1,ঞু,NYA + BANGALI VOWEL SIGN U,Matched
U+099E U+09C2,ঞূ,NYA + BANGALI VOWEL SIGN UU,Matched
U+099E U+09CD,ঞ্,NYA+HALANT,Matched
U+099F U+0981,টঁ,ASSAMESE LETTER TTA + ASSAMESE LETTER CHANDRABINDU,Matched
U+099F U+09C1,টু,TTA + ASSAMESE VOWEL SIGN U,Matched
U+099F U+09C2,টূ,TTA + ASSAMESE VOWEL SIGN UU,Matched
U+099F U+09C3,টৃ,TTA + ASSAMESE VOWEL SIGN VOCALIC R,Matched
U+099F U+09CD,ট্,TTA+HALANT,Matched
U+09A0 U+0981,ঠঁ,ASSAMESE LETTER TTHA + ASSAMESE LETTER CHANDRABINDU,Matched
U+09A0 U+09C1,ঠু,TTHA + ASSAMESE VOWEL SIGN U,Matched
U+09A0 U+09C2,ঠূ,TTHA + ASSAMESE VOWEL SIGN UU,Matched
U+09A0 U+09C3,ঠৃ,TTHA + ASSAMESE VOWEL SIGN VOCALIC R,Matched
U+09A0 U+09CD,ঠ্,TTHA+HALANT,Matched
